road_name,latitude,longitude,accident_count,speed_kmph,traffic_density,weather_severity,impact_force,fire_detected,bleeding_detected,zone
MG Road,12.97190,77.59370,12,78,88,3,8.5,0,1,red
MG Road,12.97250,77.59450,10,72,84,2,7.8,0,1,red
Ring Road,12.93520,77.62450,8,65,77,2,6.9,0,1,red
Highway NH44,13.08290,77.59010,15,95,70,4,9.2,1,1,red
Airport Road,13.19860,77.70660,7,68,62,2,5.4,0,0,blue
Old Madras Road,12.99780,77.66920,5,58,65,2,4.9,0,1,blue
Brigade Road,12.97160,77.60700,4,42,72,1,3.2,0,0,blue
Outer Ring Road,12.92340,77.67020,6,62,69,2,5.1,0,0,blue
Church Street,12.97520,77.60480,1,26,40,1,1.2,0,0,green
Residency Road,12.97070,77.60940,2,34,48,1,1.8,0,0,green
Koramangala 5th Block,12.93460,77.62050,1,30,38,1,1.0,0,0,green
Indiranagar 100ft Road,12.97840,77.64080,3,36,52,1,2.1,0,0,green

